/* ---------------------------------------------------------------------------|
 *
 * This file was generated by compilefs.
 * Edit only if you aren't going to recompile.
 *
 * ---------------------------------------------------------------------------|
 *
 * Distributed under the CC0 public domain license.
 * By Alison G. Watson. Attribution is encouraged, though not required.
 * See licenses/cc0.txt for more information.
 *
 * ---------------------------------------------------------------------------|
 */
[en enu default]
"LITH_DLOG_TESTMAP_01_12" = "Heh.. \"Z.\" You're quite creative.\n\nThere's trouble in your voice, though. I know you usually tremble, but right now it seems even worse than usual. What's wrong, \"J?\"";
"LITH_OPT_TESTMAP_01_12_01" = "... The nightmares are back.";
"LITH_DLOG_TESTMAP_01_13" = "Worse?\n\n...\n\nYou can feel in them now, right? That's why you're trembling.";
"LITH_OPT_TESTMAP_01_13_01" = "Yeah. And I don't want to go to the doctor.";
"LITH_DLOG_TESTMAP_01_14" = "...\n\nIs there anything I can do to help? It's not a lack of food or something, right?";
"LITH_OPT_TESTMAP_01_14_01" = "You'd have told me if you could hear it, right?";
"LITH_DLOG_TESTMAP_01_15" = "Are you hearing a beat? It could be your home calling for you. I'd imagine AOF didn't put much use to that planet after they went and captured you, it's probably just aching for its mana to be used.";
"LITH_OPT_TESTMAP_01_15_01" = "That's not it, I always hear that. What I hear now is.. darker.";
"LITH_DLOG_TESTMAP_01_16" = "Darker...\n\nThen, do you think that it's come? Doesn't ever come excluding incantation, vile, enroaching reality, Hell?";
"LITH_OPT_TESTMAP_01_16_01" = "It's coming. Just thought I'd let you know.";
"LITH_REMOTE_UNKNOWN" = "<unknown>@raddr.4E19";
"LITH_REMOTE_HIDDEN" = "<hidden>";
"LITH_REMOTE_OCS" = "OCS@localhost";
"LITH_REMOTE_DATA" = "data@localhost";
"LITH_REMOTE_MAXIE" = "maxie@ai.<hidden>";
"LITH_REMOTE_JACQUES" = "jacques.p42710@corp.AOF";
"LITH_REMOTE_TEST" = "test@org.example";
"LITH_PNAME_UNKNOWN" = "???";
"LITH_PNAME_MAXIE" = "Maxie";
"LITH_PNAME_JACQUES" = "Jacques";
"LITH_LOGON_AOF" = "\ch2929ff\cm..\cr4-\cg<<<LCMD INP \cn188D 1F4C\cg>>>";
"LITH_LOGON_UAC" = "\cd*** ON-BOARD COMMAND SYSTEM ACCESS TERMINAL ***";
"LITH_LOGON_DATA" = "\cu[Ship Data Terminal]";
"LITH_LOGON_TEST" = "\cgehhg.431.4122/-/<PFGR ZNE6 \cr&49c2\cg>";
