## -*-Agw-LithTxt-*-----------------------------------------------------------|
##
## Distributed under the CC0 public domain license.
## By Alison G. Watson. Attribution is encouraged, though not required.
## See licenses/cc0.txt for more information.
##
## ---------------------------------------------------------------------------|

== \#st_suff_perc | %
== \#st_labl_wep_behaviour | \cnBehaviour

== \#st_labl_wld_balance | \cnBalance
== \#st_labl_wld_rain    | \cnRain
== \#st_labl_wld_sky     | \cnSky
== \#st_labl_wld_visuals | \cnVisuals

== \#BLUE_INTENSITY  | Blue intensity
== \#GREEN_INTENSITY | Green intensity
== \#RED_INTENSITY   | Red intensity

== \#gui_buyfiller          | Click protection for buying items
== \#gui_cursor             | Cursor
== \#gui_defcr              | Default text color
== \#gui_jpfont             | Japanese font
== \#gui_theme              | Interface theme
== \#gui_xmul               | Horizontal cursor speed
== \#gui_ymul               | Vertical cursor speed
== \#hud_type               | Type
== \#hud_expbar             | Show experience bar
== \#hud_logfromtop         | Display at the top of the screen
== \#hud_logsize            | Size
== \#hud_logcolor           | Color
== \#hud_showarmorind       | Show reactive armor indicator
== \#hud_showdamage         | Display damage dealt
== \#hud_showlog            | Show
== \#hud_showlvl            | Show level
== \#hud_showscore          | Show score
== \#hud_showweapons        | Show weapons
== \#hud_damagealpha        | Damage alpha
== \#hud_showitems          | Show
== \#hud_itemcolor          | Color
== \#light_b                | $\#BLUE_INTENSITY
== \#light_battery          | Battery
== \#light_g                | $\#GREEN_INTENSITY
== \#light_r                | $\#RED_INTENSITY
== \#light_radius           | Radius
== \#light_regen            | Battery regeneration
== \#player_altinvuln       | Alternate invulnerability palette
== \#player_ammodisp        | Display picked up ammo
== \#player_bosstexts       | Enable boss dialogues
== \#player_brightweps      | Bright weapon pickups
== \#player_damagebob       | Bob view when damaged
== \#player_damagebobmul    | Damage bob multiplier
== \#player_footstepvol     | Footstep volume
== \#player_itemdisp        | Display picked up items
== \#player_itemdispalpha   | Score/item/ammo alpha
== \#player_lvsys           | Level-up system
== \#player_noitemfx        | No item effects
== \#player_pronouns        | Pronouns
== \#player_rainshader      | Enable screen shader
== \#player_resultssound    | Play sounds
== \#player_scoredisp       | Display score gained
== \#player_scoresound      | Play a sound when score is gained
== \#player_sillypickups    | Silly pickup messages
== \#player_teleshop        | Teleport in bought items and upgrades
== \#player_viewtilt        | View tilt when strafing
== \#scanner_font           | Font
== \#scanner_bar            | Health bar
== \#scanner_color          | Color
== \#scanner_slide          | Slide to target
== \#scanner_xoffs          | Horizontal offset
== \#scanner_yoffs          | Vertical offset
== \#st_autobuy_1           | Auto-buy \caSet 1
== \#st_autobuy_2           | Auto-buy \cdSet 2
== \#st_autobuy_3           | Auto-buy \cnSet 3
== \#st_autobuy_4           | Auto-buy \cfSet 4
== \#st_done_intro          | Don't play intro on next game start
== \#sv_autosave            | Autosave interval
== \#sv_difficulty          | Difficulty base
== \#sv_lessparticles       | Less particles
== \#sv_minhealth           | Minimum health on map start
== \#sv_nobossdrop          | Start with phantom rewards
== \#sv_nobosses            | No phantoms
== \#sv_postgame            | Enable
== \#sv_rain                | Enable
== \#sv_revenge             | Explode on death
== \#sv_sky                 | Replace skies
== \#sv_skydarkening        | Outside sector darkening
== \#sv_wepdrop             | Drop weapons from zombies
== \#weapons_alpha          | Weapon opacity
== \#weapons_casingfadeout  | Casings fade out
== \#weapons_casings        | Emit casings from weapons which use them
== \#weapons_fastlazshot    | Better laser shotgun performance
== \#weapons_magdrops       | Drop magazines from weapons
== \#weapons_magfadeout     | Magazines fade out
== \#weapons_magicselanims  | Magic selection animations
== \#weapons_nofirebob      | No mid-fire bobbing
== \#weapons_rainbowlaser   | Rainbow lasers
== \#weapons_recoil         | Visual recoil amount
== \#weapons_reducedsg      | Reduced shotgun sound
== \#weapons_reloadbob      | Reload bobbing amount
== \#weapons_reloadempty    | Reload the weapon when its magazine is empty
== \#weapons_ricochetvol    | Ricochet volume
== \#weapons_riflemodeclear | Clear rifle mode on switch
== \#weapons_riflescope     | Modal Rifle scope
== \#weapons_scopealpha     | Scope opacity
== \#weapons_zoomfactor     | Scope zoom factor
== \#xhair_a                | Alpha
== \#xhair_b                | $\#BLUE_INTENSITY
== \#xhair_enable           | Enable
== \#xhair_enablejuicer     | Juicer
== \#xhair_g                | $\#GREEN_INTENSITY
== \#xhair_r                | $\#RED_INTENSITY
== \#xhair_style            | Style

## EOF
