## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

## UI ════════════════════════════════════════════════════════════════════════╕
== \#ACTIVATE   | Activate
== \#CBI_CPU3 | KSKK Spec. BC-0265 Super High-Grade CPU
== \#CBI_CPU4 | AOF 5900001 Rev7 CPU

## BIP ═══════════════════════════════════════════════════════════════════════╕
== \#BIP_NAME_CORPORATIONS | Companies
== \#BIP_NAME_ENEMIES      | Adversaries
== \#BIP_NAME_ITEMS        | Items
== \#BIP_NAME_MAIL         | Mail
== \#BIP_NAME_PLACES       | Locations
== \#BIP_NAME_SEARCH       | Search
== \#BIP_NAME_UPGRADES     | Upgrades
== \#BIP_NAME_WEAPONS      | Weapons
== \#BIP_NAME_YOURSELF     | Yourself

== \#BIP_HELP_CORPORATIONS | Important companies, historic and current.
== \#BIP_HELP_ENEMIES      | Enemies and bosses.
== \#BIP_HELP_ITEMS        | Armors and other loot.
== \#BIP_HELP_MAIL         | Received mail.
== \#BIP_HELP_PLACES       | Places of interest around the galaxy.
== \#BIP_HELP_SEARCH       | Text search all categories.
== \#BIP_HELP_UPGRADES     | Body upgrades.
== \#BIP_HELP_WEAPONS      | Weapons and weapon upgrades.
== \#BIP_HELP_YOURSELF     | Your attributes, abilities and history.

## Statistics ════════════════════════════════════════════════════════════════╕
== \#STAT_ScoreMul   | Score multiplier
== \#STAT_Weapons    | Weapons found
== \#STAT_HealthUsed | Health used
== \#STAT_HealthSum  | Health sum
== \#STAT_ScoreUsed  | Score used
== \#STAT_ScoreSum   | Score sum
== \#STAT_Secrets    | Secrets found
== \#STAT_Units      | Units traveled
== \#STAT_Upgrades   | Upgrades owned
== \#STAT_Items      | Items bought
== \#STAT_Mail       | Mail received
== \#STAT_Time       | Seconds elapsed
== \#STAT_Boom       | Spurious explosions
== \#STAT_Brouzouf   | Brouzouf gained
== \#STAT_TrueMail   | Mail truly received

## Attributes ════════════════════════════════════════════════════════════════╕
== \#ATTR_HELP_ACC | Weapon damage
== \#ATTR_HELP_DEF | Damage resistance
== \#ATTR_HELP_STR | Health capacity
== \#ATTR_HELP_VIT | Health item efficiency
== \#ATTR_HELP_POT | $\#ATTR_HELP_VIT
== \#ATTR_HELP_STM | Health regeneration maximum
== \#ATTR_HELP_REP | $\#ATTR_HELP_STM
== \#ATTR_HELP_REG | $\#ATTR_HELP_STM
== \#ATTR_HELP_LUK | Score gained
== \#ATTR_HELP_RGE | Damage buff when hit
== \#ATTR_HELP_CON | Damage buff when gaining mana
== \#ATTR_HELP_ADR | Damage resistance when gaining meter
== \#ATTR_HELP_AGI | Speed and damage resistance when dodging
== \#ATTR_HELP_RSH | Damage buff when gaining health
== \#ATTR_HELP_REF | Movement speed when hit
== \#ATTR_HELP_MNA | Chance to not get damaged

## EOF
