## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

!!include Misc/Beginning.txt
!!include Misc/Inventory.txt
!!include Misc/Markers.txt
!!include Misc/QuitMessages.txt
!!include Misc/Settings.txt
!!include Misc/Tags.txt
!!include Misc/UI.txt

@@ \#OPENER
1626, New Era.

A revelation in multiverse theory: Proof of other, unseen universes
existing within the same dimension of time as our own.

Finally explaining the odd artifacts which had been found throughout
the New Era, the researchers involved were to be awarded for their
incredible discovery, but soon after, their entire institute
disappeared.

Twenty years later: 1649 NE

After an arduous investigative scan, hardware mega-corporation Optic
Fiber Maxim-Danil discovers the missing research facility in uncharted
space and opens a communications link.

On the other end of the line, the only thing visible was a bloody red
pulp floating in open space. The system's star soon collapsed into a
black hole, sucking all matter into it and emitting a new, dark
energy.
@@

The singularity beckons all to come to it,
and the investigative souls flock;

@@
The outcasts, to live again. The missioners, their tasks at hand. The
intruders, a break in the chain. A lonesome end, perhaps, awaits all
of them. The dark energy sought to be siphoned leads through a
dimension of hate--built of demons.
@@

\cm
              Go as one        \cjgo at once,
              seek your peace  \cmthrough violence,
              cast away doubt  \cjand strike, thyself,\c-
             or Lithium will forever rain from the skies!

## Misc ══════════════════════════════════════════════════════════════════════╕
== \#CHECK | Eng
== \#DEATHMSG_02 | GAME OVER YEAAAAAAHHHHHHHHHHH
== \#DEATHMSG_03 | MAYBE YOU SHOULD TRY AN EASIER MAP
== \#DEATHMSG_04 | PRO TIP: DO NOT PUT YOUR HEALTH IN /TMP
== \#DEATHMSG_05 | YHOLL WILL BE PLEASED WITH THIS TURN OF EVENTS
== \#DEATHMSG_06 | THE SKELETONS KNOW
== \#DEATHMSG_07 | SOMEWHERE IN THE HEAVENS, THEY ARE LAUGHING
== \#DEATHMSG_08 | NICE JOB
== \#DEATHMSG_09 | CONTRACT TERMINATED
== \#DEATHMSG_10 | EVEN I COULD HAVE SURVIVED THAT
== \#DEATHMSG_11 | HAHAHAHA!
== \#DEATHMSG_12 | YOU SHOULDN'T HAVE DONE THAT.
== \#DEATHMSG_13 | WOW! LOOK AT THOSE DEMON FEET.
== \#DEATHMSG_14 | OUCH! THAT HAD TO HURT.
== \#DEATHMSG_15 | LOOK AT ME! I'M FLAT!
== \#DEATHMSG_16 | THANKS FOR PLAYING!
== \#DEATHMSG_17 | YOU LAZY @&$#!
== \#DEATHMSG_18 | HAVE YOU HAD ENOUGH?
== \#DEATHMSG_19 | THE DEMONS GAVE YOU THE BOOT!
== \#DEATHMSG_20 | AT LEAST YOU PLAY BETTER THAN KAISER!

## DamNums ═══════════════════════════════════════════════════════════════════╕
== DAMNUM_TYPECOLOR_BULLET    | DamWhite
== DAMNUM_TYPECOLOR_ELECTRIC  | DamCyan
== DAMNUM_TYPECOLOR_FIRE      | DamOrange
== DAMNUM_TYPECOLOR_FIREMAGIC | DamRed
== DAMNUM_TYPECOLOR_ICE       | DamLightBlue
== DAMNUM_TYPECOLOR_MAGIC     | DamYellow
== DAMNUM_TYPECOLOR_MELEE     | DamGray
== DAMNUM_TYPECOLOR_SHRAPNEL  | DamGold

## Menus ═════════════════════════════════════════════════════════════════════╕
== MENU_NGAME  | * (New-Game)
== MENU_OPTION | * (Options)
== MENU_LOADG  | * (Load-Game)
== MENU_SAVEG  | * (Save-Game)
== MENU_CREDIT | * (Credits)
== MENU_QUITG  | * (Quit-Game)

== MNU_SAVEGAME | (Save-Game)
== MNU_LOADGAME | (Load-Game)
== MNU_OPTIONS  | (Options)

== \#DIFF_TOURIST | I'm just a tourist.
== \#DIFF_NORMAL  | Hurt me plenty.
== \#DIFF_HARD    | Ultra-Violence!
== \#DIFF_NMARE   | Nightmare!

== PLYRMNU_PRESSSPACE | Press \cjSPACE
== PLYRMNU_SEEFRONT   | to see the front.
== PLYRMNU_SEEBACK    | to see the back.

== OPTVAL_MALE    | Masculine
== OPTVAL_FEMALE  | Feminine
== OPTVAL_NEUTRAL | Something Else
== OPTVAL_OTHER   | Robot

== OPTVAL_OFF  | [Off]
== OPTVAL_ON   | [On]
== OPTVAL_AUTO | [Auto]

== SAFEMESSAGE | >>> [[[Are you sure?]]] <<<

== CNTRLMNU_DROPWEAPON   | \cm[Unusable] Drop Weapon
== CNTRLMNU_RUN          | Dodge / Run
== CNTRLMNU_TOGGLERUN    | \cm[Unusable] Toggle Run
== CNTRLMNU_USER1        | \cm[Same as Weapon Action] Action 1
== CNTRLMNU_USER2        | \cm[Unused] Action 2
== CNTRLMNU_USER3        | \cm[Unused] Action 3
== CNTRLMNU_USER4        | \cm[Same as Quick Action] Action 4
== CNTRLMNU_ZOOM         | \cm[Unused] Zoom

== DOSY     | (Press Y to quit.)
== PRESSYN  | Press Y or N.
== PRESSKEY | Press a key.

== TXT_YES | [Yes]
== TXT_NO  | [No]

== \#CTRL_WEAPONS | Lithium Weapons

== \#CTRL_ACTIONS | Lithium Actions
== \#CTRL_GLARE   | Glare
== \#CTRL_LIGHT   | Toggle Flashlight
== \#CTRL_OPENCBI | Open CBI
== \#CTRL_QACT    | Special Action
== \#CTRL_WACT    | Weapon Action
== \#CTRL_ZOOMIN  | Zoom In
== \#CTRL_ZOOMOUT | Zoom Out

== \#CTRL_AUTOGROUPS | Lithium Auto-groups
== \#CTRL_BUYGRP1    | Buy \caSet 1
== \#CTRL_BUYGRP2    | Buy \cdSet 2
== \#CTRL_BUYGRP3    | Buy \cnSet 3
== \#CTRL_BUYGRP4    | Buy \cfSet 4
== \#CTRL_TOGGRP1    | Toggle \caSet 1
== \#CTRL_TOGGRP2    | Toggle \cdSet 2
== \#CTRL_TOGGRP3    | Toggle \cnSet 3
== \#CTRL_TOGGRP4    | Toggle \cfSet 4

## Description characters:
## 012345678901234567890123456789
## 012345678901234567890123456789
## 01234567890123456789012345678
## 012345678901234567890123456
## 01234567890123456789012345

== \#MarinePlayer     | Marine
== \#MarinePlayer_DeN | Stanley J. Blazkowicz
== \#MarinePlayer_DPr | he/him
== \#MarinePlayer_Nam | Lane Blazkowicz
== \#MarinePlayer_Pro | she/her
== \#MarinePlayer_Col | Lith_Green
%% \#MarinePlayer_Dsc
An exceptional soldier,
augmented with tech and some
of the most advanced weaponry
there is. Agile, simple,
an advanced baseline.

== \#CybermagePlayer     | Cyber-Mage
== \#CybermagePlayer_Nam | Jeremy Stilko
== \#CybermagePlayer_Pro | he/him
== \#CybermagePlayer_Col | Lith_Red
%% \#CybermagePlayer_Dsc
Possesses great knowledge of
magic and cybernetics, capable
of using both firearms and
spells to his advantage.
Relies on weapon quirks.

== \#InformantPlayer     | Informant
== \#InformantPlayer_Nam | Folques of Red and Black
== \#InformantPlayer_Pro | they/them
## == \#InformantPlayer_Col | Lith_Purple
== \#InformantPlayer_Col | Black
%% \#InformantPlayer_Dsc
An advanced combat robot,
built to seal Hell before it
gets any worse. They rely on
countering enemies and
their obtuse arsenal.

== \#AssassinPlayer     | Assassin
== \#AssassinPlayer_Nam | Omisielle Faulzaje
== \#AssassinPlayer_Pro | they/she
## == \#AssassinPlayer_Col | Lith_Pink
== \#AssassinPlayer_Col | Black
%% \#AssassinPlayer_Dsc
An intruder from another
dimension, a fast and violent
human constructed in a lab.
They use combos and tricks
to kill through the horde.

== \#DarkLordPlayer     | Dark Lord
== \#DarkLordPlayer_Nam | Aricil Deyan'za
== \#DarkLordPlayer_Pro | he/they
== \#DarkLordPlayer_Col | Lith_Blue
%% \#DarkLordPlayer_Dsc
A walking tank, lord of all
destruction. Moves slow, hits
hard. Bring the slaughter,
but be prepared to think
deftly to survive.

== \#WandererPlayer     | Wanderer
== \#WandererPlayer_Nam | Lucas Sánchez
== \#WandererPlayer_Pro | it/its
## == \#WandererPlayer_Col | Lith_Yellow
== \#WandererPlayer_Col | Black
%% \#WandererPlayer_Dsc
An alien with no home,
wandering throughout the stars
searching for purpose. Has an
advanced arsenal and alien
magic with odd effects.

== \#ThothPlayer     | Thoth
== \#ThothPlayer_Nam | Kirihito Kosatohara
== \#ThothPlayer_Pro | she/her
## == \#ThothPlayer_Col | Lith_Grey
== \#ThothPlayer_Col | Black
%% \#ThothPlayer_Dsc
The third incarnation of the
immortal Kirika, sent by the
god Thoth to reassert
causality. Armed to the
teeth with guns and magic.

## Boss Warnings ═════════════════════════════════════════════════════════════╕
%% \#BossWarnLane
WARNING:
High concentration of demonic energy in area.
Life source detected at central point.
Caution is advised.

%% \#BossWarnJem
[WARNING]
DEMONIC ENERGY LEVELS IN AREA RISING ERRATICALLY
IMPLEMENT DIRECTIVE 90 ON TARGET ENEMY

%% \#BossWarnFulk
<Warning> :: High demonic energy level in area.
Seek and remove source [LIFEFORM 96a.]

%% \#BossWarnOmi
Detected high amounts of demonic energy near by.
Find and eradicate target!

%% \#BossWarnAri
Detected high amounts of demonic energy near by.
Find and eradicate interloper.

%% \#BossWarnLuke
The area's aura suppresses you...
Destroy the source of the darkness.

%% \#BossWarnKiri
A shadow lurks in this place.
Heed not its call, but kill the basilisk.

== \#BossHear1 | You feel ringing in your ears...
%% \#BossHear2
An evil voice calls out to you,
but you do not heed its words...
== \#BossHear3 | You feel intense pain throughout your whole body...

## EOF
