## ╭-*-Agw-LithTxt-*-─────────────────────────────────────────────────────────╮
## │                                                                          │
## │             Distributed under the CC0 public domain license.             │
## │   By Alison G. Watson. Attribution is encouraged, though not required.   │
## │                See licenses/cc0.txt for more information.                │
## │                                                                          │
## ╰──────────────────────────────────────────────────────────────────────────╯

## UI ════════════════════════════════════════════════════════════════════════╕
== \#ACTIVATE   | 起動
== \#SHOP_MUL_DISABLE | この機能を切断するとスコア入手量が\c%c%i\c-%%　倍になります。

## CBI Items ═════════════════════════════════════════════════════════════════╕
== \#CBI_PERF | 性能： %i\cbPr
== \#CBI_PUSE | 使用率： %i\cbPr
== \#CBI_WRAM | ＲＡＭ： %iTiB

== \#CBI_INTERFACES | インストールされたインターフェース：

== \#CBI_WeapnInter | 武器改造デバイス
== \#CBI_WeapnInte2 | 武器変質デバイス
== \#CBI_ArmorInter | アーマーインタフェイス
== \#CBI_RDistInter | 現実歪曲インタフェイス

== \#CBI_Slot1Spell | \ciブレード スペルドライバ
== \#CBI_Slot2Spell | \ciディリアン スペルドライバ
== \#CBI_Slot3Spell | \ciフューア スペルドライバ
== \#CBI_Slot4Spell | \ciロミエッタ スペルドライバ
== \#CBI_Slot5Spell | \ciハルギョン スペルドライバ
== \#CBI_Slot6Spell | \ciホシュ'ダンマ スペルドライバ
== \#CBI_Slot7Spell | \cgセルス・デ・ラ・モルテ スペルドライバ

== \#CBI_CPU1 | ＯＦＭＤスペックノデア５４１ベーシックＣＰＵ
== \#CBI_CPU2 | ＫＳＫＫスペックＺ６８０８高級ＣＰＵ
== \#CBI_CPU3 | ＫＳＫＫスペックＢＣ０２６５超高級ＣＰＵ
== \#CBI_CPU4 | ＡＯＦ５９００００１ Ｒｅｖ７ ＣＰＵ

## BIP ═══════════════════════════════════════════════════════════════════════╕
== \#BIP_NAME_CORPORATIONS | 会社
== \#BIP_NAME_ENEMIES      | 敵
== \#BIP_NAME_ITEMS        | アイテム
== \#BIP_NAME_MAIL         | メール
== \#BIP_NAME_PLACES       | 場所
== \#BIP_NAME_SEARCH       | 検索
== \#BIP_NAME_UPGRADES     | アップグレード
== \#BIP_NAME_WEAPONS      | 武器
== \#BIP_NAME_YOURSELF     | 自分

== \#BIP_HELP_CORPORATIONS | 歴史的かつ現在の、重要な会社。
== \#BIP_HELP_ENEMIES      | 敵とボス。
== \#BIP_HELP_ITEMS        | アーマーや掘り出し物など。
== \#BIP_HELP_MAIL         | 受信したメール。
== \#BIP_HELP_PLACES       | 銀河系周辺の名所。
== \#BIP_HELP_SEARCH       | 全種類をテキスト検索する。
== \#BIP_HELP_UPGRADES     | 素体のアップグレード。
== \#BIP_HELP_WEAPONS      | 武器と武器のアップグレード。
== \#BIP_HELP_YOURSELF     | 自分の属性、能力、歴史。

## Statistics ════════════════════════════════════════════════════════════════╕
== \#STAT_ScoreMul   | スコア倍率
== \#STAT_Weapons    | 手に入れた武器の量
== \#STAT_HealthUsed | 捨てたＨＰ
== \#STAT_HealthSum  | ＨＰ合計
== \#STAT_ScoreUsed  | 費やしたスコア
== \#STAT_ScoreSum   | スコア合計
== \#STAT_Secrets    | 見つかったシークレット数
== \#STAT_Units      | ユニット転送量
== \#STAT_Upgrades   | 所有アップグレード
== \#STAT_Items      | 買ったアイテム
== \#STAT_Mail       | 受信したメール
== \#STAT_Time       | 経過時間
== \#STAT_Boom       | 疑似爆発の量
== \#STAT_Brouzouf   | 得たｂｒｏｕｚｏｕｆ
== \#STAT_TrueMail   | 実際受信したメール

## Attributes ════════════════════════════════════════════════════════════════╕
== \#ATTR_HELP_ACC | 攻撃力
== \#ATTR_HELP_DEF | 防御力
== \#ATTR_HELP_STR | 最大ＨＰ
== \#ATTR_HELP_VIT | 回復効率
== \#ATTR_HELP_STM | 最大再生ＨＰ
== \#ATTR_HELP_LUK | スコア増加運
== \#ATTR_HELP_RGE | 反撃攻撃力

## EOF
