## Misc ----------------------------------------------------------------------|
== LITH_CHECK | Eng
== LITH_OB_Suicide_3 | %o took a permanent solution to a temporary problem.
== LITH_OB_Suicide_4 | %o imploded.
== LITH_OB_Suicide_5 | %o couldn't take it anymore.

== LITH_OB_Default_1 | %o is ded
== LITH_OB_Default_2 | %o was perforated by a chaingunner hiding in the sky.
== LITH_OB_Default_3 | %o was removed from the board.
== LITH_OB_Default_4 | %o dehumanized %hself.
== LITH_OB_Default_5 | %o went poof.

## Death Messages ------------------------------------------------------------|
== LITH_DEATHMSG_01 | YOU ARE DEAD, DEAD, DEAD
== LITH_DEATHMSG_02 | GAME OVER YEAAAAAAHHHHHHHHHHH
== LITH_DEATHMSG_03 | MAYBE YOU SHOULD TRY AN EASIER MAP, LIKE OKU.
== LITH_DEATHMSG_04 | PROTIP: DO NOT PUT YOUR HEALTH IN /TMP.
== LITH_DEATHMSG_05 | YHOLL WILL BE PLEASED WITH THIS TURN OF EVENTS.
== LITH_DEATHMSG_06 | THE SKELETONS KNOW.
== LITH_DEATHMSG_07 | SOMEWHERE IN THE HEAVENS, THEY ARE LAUGHING. AT YOU.
== LITH_DEATHMSG_08 | JESUS CHRIST AMAZING
== LITH_DEATHMSG_09 | CONTRACT TERMINATED. REASON: DIED, LOL.
== LITH_DEATHMSG_10 | PLS, EVEN I COULD HAVE SURVIVED THAT.
== LITH_DEATHMSG_11 | HAHAHAHA!
== LITH_DEATHMSG_12 | YOU SHOULDN'T HAVE DONE THAT.
== LITH_DEATHMSG_13 | WOW! LOOK AT THOSE DEMON FEET.
== LITH_DEATHMSG_14 | OUCH! THAT HAD TO HURT.
== LITH_DEATHMSG_15 | LOOK AT ME! I'M FLAT!
== LITH_DEATHMSG_16 | THANKS FOR PLAYING!
== LITH_DEATHMSG_17 | YOU LAZY @&$#!
== LITH_DEATHMSG_18 | HAVE YOU HAD ENOUGH?
== LITH_DEATHMSG_19 | THE DEMONS GAVE YOU THE BOOT!
== LITH_DEATHMSG_20 | AT LEAST YOU PLAY BETTER THAN KAISER!

## Menus ---------------------------------------------------------------------|
== MENU_NGAME  | * (New-Game)
== MENU_OPTION | * (Options)
== MENU_LOADG  | * (Load-Game)
== MENU_SAVEG  | * (Save-Game)
== MENU_UPDAT  | * (Update-Notes)
== MENU_QUITG  | * (Quit-Game)

== MENU_CHOOSECLASS  | Your Class Is:
== MENU_WHICHEPISODE | Your Story Is:
== MENU_CHOOSESKILL  | Your Skill Is:

== DIFF_TOURIST | > I'm just a tourist.
== DIFF_EASY    | > Throw me a bone.
== DIFF_NORMAL  | > Hurt me plenty.
== DIFF_HARD    | > Ultra-Violence!
== DIFF_XHARD   | > Watch me die!
== DIFF_NMARE   | > Crazed Nightmare!

== PLYRMNU_PRESSSPACE | Press \cjSPACE
== PLYRMNU_SEEFRONT   | to see the front.
== PLYRMNU_SEEBACK    | to see the back.

== OPTVAL_MALE    | Masculine
== OPTVAL_FEMALE  | Feminine
== OPTVAL_NEUTRAL | Non-binary
== OPTVAL_OTHER   | Other

== OPTVAL_OFF  | [Off]
== OPTVAL_ON   | [On]
== OPTVAL_AUTO | [Auto]

== SAFEMESSAGE | >>> [[[Are you sure?]]] <<<

== CNTRLMNU_ALTATTACK    | Secondary Fire/Zoom
== CNTRLMNU_RELOAD       | Reload
== CNTRLMNU_RUN          | Dodge / Run
== CNTRLMNU_USER1        | Weapon Action
== CNTRLMNU_USER4        | Special Action
== CNTRLMNU_SAY          | Speak
== CNTRLMNU_TEAMSAY      | Speak to Team
== CNTRLMNU_AUTOMAP      | Toggle Automap
== CNTRLMNU_CHASECAM     | Third Person
== CNTRLMNU_COOPSPY      | Co-op Spy
== CNTRLMNU_CONSOLE      | Open Console
== CNTRLMNU_ZOOM         | \cm[Unused] Zoom
== CNTRLMNU_TOGGLERUN    | \cm[Unused] Toggle Run
== CNTRLMNU_USER2        | \cm[Unused] Action 2
== CNTRLMNU_USER3        | \cm[Unused] Action 3
== CNTRLMNU_USEITEM      | \cm[Unused] Use Item
== CNTRLMNU_USEALLITEMS  | \cm[Unused] Use All Items
== CNTRLMNU_NEXTITEM     | \cm[Unused] Next Item
== CNTRLMNU_PREVIOUSITEM | \cm[Unused] Prev. Item
== CNTRLMNU_DROPITEM     | \cm[Unused] Drop Item
== CNTRLMNU_QUERYITEM    | \cm[Unused] Query Item
== CNTRLMNU_DROPWEAPON   | \cm[Unused] Drop Weapon
== CNTRLMNU_MISSION      | \cm[Unused] Objectives
== CNTRLMNU_KEYS         | \cm[Unused] Keys List
== CNTRLMNU_STATS        | \cm[Unused] Stats

%% LITH_SKILL_TOURIST
Are you certain?
This one is just amusing.

%% LITH_SKILL_EXTRAHARD
Are you sure?
This one is extra hard.

%% LITH_SKILL_NIGHTMARE
Are you sure?
This one isn't even remotely fair.

== DOSY     | (Press Y to quit.)
== PRESSYN  | Press Y or N.
== PRESSKEY | Press a key.

== TXT_YES | [Yes]
== TXT_NO  | [No]
