## -*-Prog-*------------------------------------------------------------------|
##
## Distributed under the CC0 public domain license.
## By Alison Sanderson. Attribution is encouraged, though not required.
## See licenses/cc0.txt for more information.
##
## ---------------------------------------------------------------------------|
##
## Upgrades to be processed into C files.
##
## % denotes flags.
## + denotes a monster.
## = denotes an enumerated flag.
##
## ---------------------------------------------------------------------------|

=mif_full
=mif_angelic
=mif_dark

## Doom ----------------------------------------------------------------------|

+ChaingunGuy   imp         Helliate
+Demon         demon       Satyr
+Spectre       demon       Mush
+LostSoul      lostsoul    Gsoul
+Cacodemon     cacodemon   Accuser
+Revenant      revenant    Famine
+PainElemental arachnotron Writhe
+HellKnight    hellknight  Sonnelion
+LostSoul      lostsoul    Eotu
+Arachnotron   arachnotron Lolth
+Mancubus      mancubus    Malbouge
+BaronOfHell   baron       Abaddon
+Archvile      archvile    Pestilence
+SpiderDemon   mastermind  Granfalloon
+CyberDemon    cyberdemon  SoF
+LostSoul      lostsoul    Karkass
+HellKnight    imp         Doorman
+LostSoul      lostsoul    UnbodiedFury
+ShotgunGuy    imp         Bloodfiend
+Demon         demon       Mortuus
+Demon         demon       Phantasm
+ChaingunGuy   imp         Malum
+ShotgunGuy    imp         Phasma
+Spectre       demon       Licho
+Cacodemon     cacodemon   Hierophant
+Cacodemon     cacodemon   Mandingo
+CyberDemon    cyberdemon  Burrower
+Archvile      arachnotron Aranearum
+Cacodemon     cacodemon   Lividus
+HellKnight    hellknight  Deepone
+BaronOfHell   baron       Deeptwo

## Western Patch -------------------------------------------------------------|

+ZombieMan  zombie   Westman
+ZombieMan  zombie   WildGunmanGuy
+ShotgunGuy zombiesg TheOutsider

## Combined Harms ------------------------------------------------------------|

+ZombieMan     zombie        ZombieGunner
+ShotgunGuy    zombiesg      ShotGunner
+ChaingunGuy   zombiecg      ChainGunner
+Demon         demon         Pinky
+Spectre       demon         sneakypinky
+Cacodemon     cacodemon     bigmouthedhissything
+LostSoul      lostsoul      skullhead
+PainElemental painelemental meatball
+BaronOfHell   baron         bruiserbro
+HellKnight    hellknight    KnellHight
+Revenant      revenant      agitator
+Mancubus      mancubus      fatty
+Arachnotron   arachnotron   lilspider
+Archvile      archvile      martianbastard
+SpiderDemon   mastermind    bigspider
+CyberDemon    cyberdemon    angrycow

## Cyberpack -----------------------------------------------------------------|

+ZombieMan zombie ZSec

%mif_full
+ZombieMan     zombie        DuneWarrior
+ShotgunGuy    zombiesg      NailBorg
+ShotgunGuy    zombiesg      QuadShotgunZombie
+ChaingunGuy   zombiecg      ZSpecOpsMachinegun
+LostSoul      lostsoul      MiniSentinel
+LostSoul      lostsoul      Railbot
+Demon         demon         CyberFiend
+Revenant      revenant      RevGhoul
+HellKnight    hellknight    Paladin
+Mancubus      mancubus      Hectebus
+Cacodemon     cacodemon     Facebot
+PainElemental painelemental ZombieMissileTank
+Arachnotron   arachnotron   FusionSpider
+Arachnotron   arachnotron   CGunSpider
+CyberDemon    cyberdemon    Annihilator
+CyberDemon    cyberdemon    Terminator
+CyberDemon    cyberdemon    Thamuz
+CyberDemon    cyberdemon    PaladinTitan $
+SpiderDemon   mastermind    Demolisher
+SpiderDemon   mastermind    Overlord
+SpiderDemon   mastermind    UACBot
+SpiderDemon   mastermind    Maephisto
%

## DoomRL Arsenal Monsters ---------------------------------------------------|

+ZombieMan   zombie   FormerHuman
+ShotgunGuy  zombiesg FormerSergeant
+ChaingunGuy zombiecg FormerCommando
+DRLACaptain zombie   FormerCaptain

## Cheogsh.wad ---------------------------------------------------------------|

+Spectre demon Nightmare

%mif_full
+Imp         imp        Howler
+Imp         imp        SoulHarvester
+BaronOfHell baron      HellWarrior
+CyberDemon  cyberdemon Cheogsh
%

## EOF
